Unique_ID,dataset_id,observation_id,family,genus,species_binom,woodiness,reclass_life_history,putative_BNF,myc_type,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,NPP,MAT,PPT,AET,precip_seasonality,temp_seasonality
2728,Dong_2017,Dong_2017_216,Malvaceae,Abutilon,Abutilon_otocarpum,1,long,0,AM,-24.782,136.01,30.5400417,NA,NA,NA,NA,NA,0.024,0.024,0.5,11.712,11.751,569.053,23.082,122.238,116.066666,52.3631325,664.253967
1843,Schmidt_2003,Schmidt_2003_001,Fabaceae,Abrus,Abrus_precatorius,1,long,1,AM,-12.65,132.916667,30.5,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
1989,Schulze_1998,Schulze_1998_081,Fabaceae,Erythrophleum,Erythrophleum_chlorostachys,1,long,1,AM,-14.3,132.091389,30.15,NA,NA,NA,NA,NA,0.04,0.012,0.512,4.741,2.657,4966.579,27.52,1019.943,924.585693,115.327202,274.900482
2345,Schmidt_2003,Schmidt_2003_377,Flagellariaceae,Flagellaria,Flagellaria_indica,0,long,0,AM,-12.65,132.916667,30,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
2881,Sendall_2016,Sendall_2016_427,Meliaceae,Toona,Toona_ciliata,1,long,0,AM,-28.63,153.36,29.85,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
7800,Edwards_2000,Edwards_2000_101,Thymelaeaceae,Pimelea,Pimelea_drupacea,1,long,0,AM,-39.01667,146.3333,29.83,NA,NA,NA,NA,NA,0.206,0.016,2.805,13.498,23.094,13741.211,13.872,1006.81,736.585693,33.0316963,304.402039
7616,Sendall_2016,Sendall_2016_152,Sapindaceae,Diploglottis,Diploglottis_australis,1,long,0,AM,-28.63,153.36,29.72,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
1537,Dong_2017,Dong_2017_220,Fabaceae,Swainsona,Swainsona_oroboides,0,long,1,AM,-26.278,134.999,29.6284916,NA,NA,NA,NA,NA,0.029,0.027,0.437,14.141,12.421,877.579,22.714,170.533,162.004761,41.7052994,644.160706
717,Leigh_2003,Leigh_2003_05,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,29.55,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
1897,Schmidt_2003,Schmidt_2003_064,Fabaceae,Acacia,Acacia_oncinocarpa,1,long,1,EcM-AM,-12.65,132.916667,29.5,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
7615,Sendall_2016,Sendall_2016_151,Sapindaceae,Diploglottis,Diploglottis_australis,1,long,0,AM,-28.63,153.36,29.45,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
2729,Dong_2017,Dong_2017_225,Malvaceae,Abutilon,Abutilon_fraseri,1,short,0,AM,-26.278,134.999,29.4485602,NA,NA,NA,NA,NA,0.029,0.027,0.437,14.141,12.421,877.579,22.714,170.533,162.004761,41.7052994,644.160706
3858,Crous_2013,Crous_2013_14,Myrtaceae,Eucalyptus,Eucalyptus_globulus,1,long,0,EcM-AM,-33.610811,150.741042,29.4200001,NA,NA,NA,NA,NA,0.149,0.033,1.27,14.027,6.643,11632,17.849,780.781,727.466675,32.7655144,439.557282
729,Leigh_2003,Leigh_2003_27,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,29.41,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
2880,Sendall_2016,Sendall_2016_426,Meliaceae,Toona,Toona_ciliata,1,long,0,AM,-28.63,153.36,29.2,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
1920,Schmidt_2003,Schmidt_2003_237,Fabaceae,Crotalaria,Crotalaria_novae-hollandiae,1,long,1,AM,-12.65,132.916667,29,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
726,Leigh_2003,Leigh_2003_24,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,28.95,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
707,Dong_2017,Dong_2017_399,Chenopodiaceae,Rhagodia,Rhagodia_spinescens,1,long,0,AM,-30.656,139.547,28.9419442,NA,NA,NA,NA,NA,0.033,0.03,0.466,16.378,13.437,972.053,21.15,107.405,102.023811,45.6435471,620.180054
2182,Sendall_2016,Sendall_2016_083,Fabaceae,Castanospermum,Castanospermum_australe,1,long,0,AM,-28.63,153.36,28.92,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
725,Leigh_2003,Leigh_2003_23,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,28.84,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
2879,Sendall_2016,Sendall_2016_425,Meliaceae,Toona,Toona_ciliata,1,long,0,AM,-28.63,153.36,28.76,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
2181,Sendall_2016,Sendall_2016_082,Fabaceae,Castanospermum,Castanospermum_australe,1,long,0,AM,-28.63,153.36,28.69,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
2878,Sendall_2016,Sendall_2016_424,Meliaceae,Toona,Toona_ciliata,1,long,0,AM,-28.63,153.36,28.66,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
728,Leigh_2003,Leigh_2003_26,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,28.55,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
2180,Sendall_2016,Sendall_2016_081,Fabaceae,Castanospermum,Castanospermum_australe,1,long,0,AM,-28.63,153.36,28.2,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
1988,Schulze_1998,Schulze_1998_080,Fabaceae,Erythrophleum,Erythrophleum_chlorostachys,1,long,1,AM,-14.3,132.091389,28.14,NA,NA,NA,NA,NA,0.04,0.012,0.512,4.741,2.657,4966.579,27.52,1019.943,924.585693,115.327202,274.900482
2732,Dong_2017,Dong_2017_400,Malvaceae,Sida,Sida_fibulifera,1,long,0,AM,-30.656,139.547,28.047035,NA,NA,NA,NA,NA,0.033,0.03,0.466,16.378,13.437,972.053,21.15,107.405,102.023811,45.6435471,620.180054
7804,Edwards_2000,Edwards_2000_105,Thymelaeaceae,Pimelea,Pimelea_drupacea,1,long,0,AM,-39.01667,146.3333,27.64,NA,NA,NA,NA,NA,0.206,0.016,2.805,13.498,23.094,13741.211,13.872,1006.81,736.585693,33.0316963,304.402039
7614,Sendall_2016,Sendall_2016_150,Sapindaceae,Diploglottis,Diploglottis_australis,1,long,0,AM,-28.63,153.36,27.34,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
6185,Guilherme_Pereira_2019,Guilherme_Pereira_2019_105,Phyllanthaceae,Phyllanthus,Phyllanthus_calycinus,1,long,0,AM,-30.191168,115.059339,27.319,NA,NA,NA,NA,NA,0.065,0.017,1.57,7.565,6.493,4726.842,20.136,450.938,423.661896,84.4911804,423.085724
2877,Sendall_2016,Sendall_2016_423,Meliaceae,Toona,Toona_ciliata,1,long,0,AM,-28.63,153.36,27.28,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
2795,Schulze_1998,Schulze_1998_104,Malvaceae,Adansonia,Adansonia_gregorii,1,long,0,AM,-15.586667,131.116111,27.19,NA,NA,NA,NA,NA,0.087,0.047,2.749,13.726,32.508,4058.211,27.859,854.719,794.590454,119.020241,318.215607
723,Leigh_2003,Leigh_2003_21,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,27.18,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,44.6579094,498.335114
1981,Schulze_1998,Schulze_1998_020,Fabaceae,Erythrophleum,Erythrophleum_chlorostachys,1,long,1,AM,-11.767222,130.880278,27.06,NA,NA,NA,NA,NA,0.065,0.016,1.654,3.223,5.643,7527.211,27.042,1592.529,1152.35242,105.937607,157.263504
7613,Sendall_2016,Sendall_2016_149,Sapindaceae,Diploglottis,Diploglottis_australis,1,long,0,AM,-28.63,153.36,27.05,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
2348,Schmidt_2003,Schmidt_2003_380,Flagellariaceae,Flagellaria,Flagellaria_indica,0,long,0,AM,-12.65,132.916667,27,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
